symbol,mu,alpha,gamma,success,message,n_raw,n_after_dedup,T,neg_ll
ENAUSDT,1.9079428585867622e-07,8.131024095601678e-05,0.00030987041846129287,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,22569,22344,86381590040,334400.9298773481
ETCUSDT,4.836373992482462e-08,2.888957214393478e-05,7.571854545172404e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,6831,6752,86365964817,104939.0947112761
ETHFIUSDT,3.2308778824131595e-08,0.00020129776010848334,0.0004034300871578731,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,5657,5566,86331004623,77932.41831717602
ETHUSDT,2.083955895614159e-06,0.00015427029872357975,0.0002895044419192909,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,729850,385489,86399158097,4497524.1725256285
EURUSDT,2.939613256793901e-07,7.053054076470507e-05,0.0002067787453834171,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,38972,38540,86389383540,545751.0924536401
EWYBUSDT,1.2023821710918104e-08,1.988357151409471e-05,6.060143468314923e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1667,1545,86361082655,26114.29037675618
FDUSDUSDT,1.0498502197615038e-07,7.593623776739839e-06,1.8408758836186447e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,15445,15436,86384951073,233578.9954320062
FETUSDT,1.781355977441439e-07,0.00012947505883754968,0.00042289544210955216,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,23301,22181,86397711345,323345.9996602428
FFUSDT,1.21652041934289e-07,2.0591586974383168e-05,4.631946926807783e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,24465,18900,86298052166,276840.0099273718
FILUSDT,7.535404920953576e-08,0.00011795014182325905,0.0002852847301555683,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11198,11096,86376455581,160285.0550748898
GALAUSDT,6.384722194954857e-08,0.00023577600166072637,0.0004573978024931369,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11976,11381,86392188802,151192.8345231068
GRAMUSDT,,,,False,no usable data,0,0,,
HBARUSDT,2.3271170654910686e-07,8.720815344731574e-05,0.00020761011703671504,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,39188,34668,86398056903,479281.2728352663
HEIUSDT,1.6766842825126923e-07,0.0002538687174610958,0.0005574901871864697,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,28857,26598,86397124820,355604.40571762464
